"date","new_topics","new_posts","new_members","most_members_online","hits"
2009-12-01,0,0,0,2,0
2009-12-02,0,0,0,1,0
2009-12-03,0,0,0,2,0
2009-12-04,0,0,1,2,0
2009-12-05,1,1,1,1,0
2009-12-06,0,0,2,2,0
2009-12-07,0,0,0,2,0
2009-12-08,0,0,0,2,0
2009-12-09,1,3,3,3,0
2009-12-10,1,4,2,4,0
2009-12-11,0,4,1,3,0
2009-12-12,1,8,1,2,0
2009-12-13,0,4,0,2,0
2009-12-14,1,5,0,3,0
2009-12-15,0,4,0,3,0
2009-12-16,1,2,0,2,0
2009-12-17,0,4,0,6,0
2009-12-18,0,2,1,5,0
2009-12-19,0,0,0,3,0
2009-12-20,0,0,0,2,0
2009-12-21,0,0,0,3,0
2009-12-22,0,0,0,3,0
2009-12-23,0,1,2,4,0
2009-12-24,0,0,0,3,0
2009-12-25,0,0,0,2,0
2009-12-26,0,0,1,4,0
2009-12-27,0,0,0,2,0
2009-12-28,0,0,0,3,0
2009-12-29,0,0,0,4,0
2009-12-30,0,2,0,3,0
2009-12-31,0,0,0,4,0
2010-01-01,1,1,1,3,0
2010-01-02,0,0,0,3,0
2010-01-03,0,0,0,3,0
2010-01-04,0,0,0,2,0
2010-01-05,0,2,0,3,0
2010-01-06,0,0,0,3,0
2010-01-07,0,1,0,4,0
2010-01-08,0,0,0,3,0
2010-01-09,0,0,0,3,0
2010-01-10,0,0,0,4,0
2010-01-11,1,1,0,4,0
2010-01-12,0,2,2,4,0
2010-01-13,1,7,0,5,0
2010-01-14,0,2,0,4,0
2010-01-15,1,2,1,5,0
2010-01-16,2,6,0,4,0
2010-01-17,0,2,0,4,0
2010-01-18,1,2,1,6,0
2010-01-19,0,1,1,4,0
2010-01-20,0,2,1,5,0
2010-01-21,0,1,0,3,0
2010-01-22,1,1,0,4,0
2010-01-23,0,0,0,4,0
2010-01-24,2,8,1,5,0
2010-01-25,1,13,0,5,0
2010-01-26,1,6,0,4,0
2010-01-27,4,16,1,5,0
2010-01-28,0,14,0,5,0
2010-01-29,0,8,0,5,0
2010-01-30,0,0,0,5,0
2010-01-31,1,4,0,3,0
2010-02-01,3,13,1,5,0
2010-02-02,0,8,0,6,0
2010-02-03,2,16,1,6,0
2010-02-04,2,16,0,6,0
2010-02-05,3,14,2,7,0
2010-02-06,1,16,1,7,0
2010-02-07,1,10,0,6,0
2010-02-08,1,12,0,6,0
2010-02-09,0,16,1,7,0
2010-02-10,1,6,0,6,0
2010-02-11,0,2,0,5,0
2010-02-12,1,11,3,8,0
2010-02-13,0,2,0,5,0
2010-02-14,2,9,3,5,0
2010-02-15,2,23,1,8,0
2010-02-16,2,20,1,8,0
2010-02-17,1,11,1,7,0
2010-02-18,1,13,0,10,0
2010-02-19,1,4,0,7,0
2010-02-20,0,6,0,7,0
2010-02-21,2,15,0,8,0
2010-02-22,1,5,0,8,0
2010-02-23,2,21,1,9,0
2010-02-24,1,60,2,12,0
2010-02-25,0,27,0,10,0
2010-02-26,0,22,1,10,0
2010-02-27,1,9,3,8,0
2010-02-28,2,7,3,9,0
2010-03-01,0,9,0,12,0
2010-03-02,2,22,0,9,0
2010-03-03,0,15,0,10,0
2010-03-04,1,7,0,6,0
2010-03-05,1,16,2,76,0
2010-03-06,0,7,0,8,0
2010-03-07,0,17,2,28,0
2010-03-08,5,13,2,8,0
2010-03-09,1,3,0,7,0
2010-03-10,1,7,0,8,0
2010-03-11,2,8,2,8,0
2010-03-12,0,0,1,9,0
2010-03-13,1,4,1,7,0
2010-03-14,1,5,0,7,0
2010-03-15,2,12,0,7,0
2010-03-16,0,11,1,8,0
2010-03-17,1,16,1,12,0
2010-03-18,1,8,8,9,0
2010-03-19,0,6,2,11,0
2010-03-20,1,29,1,17,0
2010-03-21,0,4,1,8,0
2010-03-22,2,5,1,8,0
2010-03-23,0,6,3,9,0
2010-03-24,1,4,0,6,0
2010-03-25,0,4,2,31,0
2010-03-26,0,0,2,14,0
2010-03-27,1,4,2,14,0
2010-03-28,0,2,0,15,0
2010-03-29,0,3,1,13,0
2010-03-30,1,8,5,12,0
2010-03-31,1,3,0,17,0
2010-04-01,0,2,0,8,0
2010-04-02,1,1,0,9,0
2010-04-03,1,4,1,8,0
2010-04-04,0,1,1,12,0
2010-04-05,2,4,1,13,0
2010-04-06,3,12,5,15,0
2010-04-07,0,6,25,12,0
2010-04-08,3,16,6,14,0
2010-04-09,1,5,2,18,0
2010-04-10,1,9,0,16,0
2010-04-11,0,3,1,10,0
2010-04-12,0,0,2,10,0
2010-04-13,1,5,2,31,0
2010-04-14,4,22,6,14,0
2010-04-15,4,20,2,12,0
2010-04-16,1,14,1,11,0
2010-04-17,0,4,0,10,0
2010-04-18,0,3,0,11,0
2010-04-19,1,8,1,11,0
2010-04-20,0,4,3,11,0
2010-04-21,2,13,2,17,0
2010-04-22,2,14,0,13,0
2010-04-23,0,6,1,11,0
2010-04-24,1,1,2,11,0
2010-04-25,1,4,1,9,0
2010-04-26,0,3,1,9,0
2010-04-27,0,5,2,12,0
2010-04-28,0,5,2,11,0
2010-04-29,1,3,0,19,0
2010-04-30,0,3,3,20,0
2010-05-01,0,4,1,9,0
2010-05-02,1,8,3,12,0
2010-05-03,2,11,1,10,0
2010-05-04,1,9,2,13,0
2010-05-05,0,2,2,13,0
2010-05-06,0,6,3,13,0
2010-05-07,1,2,3,10,0
2010-05-08,0,11,2,11,0
2010-05-09,3,10,0,10,0
2010-05-10,2,10,3,15,0
2010-05-11,0,4,2,15,0
2010-05-12,0,2,0,19,0
2010-05-13,1,4,3,15,0
2010-05-14,1,6,1,16,0
2010-05-15,0,0,2,15,0
2010-05-16,0,10,0,17,0
2010-05-17,1,5,2,18,0
2010-05-18,1,11,6,18,0
2010-05-19,3,12,3,16,0
2010-05-20,2,7,2,17,0
