"Date","mkpru","totbc","ntran","naddu","bcdde","exrate","wiki_views","new_members","new_posts","oil_price","dj"
2016-07-22,368179,15773600,221404,368179,0,1.1014,5925.2777937692,303,11228,44.24,18570.849609
2016-07-21,364285,15771987.5,217606,364285,0,1.1015,5234.80154474018,330,11930,44.99,18517.230469
2016-07-20,378815,15770325,227429,378815,0,1.1013,5052.81086964584,314,12141,45.82,18595.029297
2016-07-19,373620,15768450,222146,373620,0,1.1035,5000.20891372156,309,11235,45.7,18559.009766
2016-07-15,367739,15761175,216081,367739,0,1.1128,5197.31509339184,323,10909,46.25,18516.550781
2016-07-14,367953,15759487.5,220655,367953,0,1.1157,5507.48524729017,333,12268,46.01,18506.410156
2016-07-13,367252,15757725,218093,367252,0,1.1072,6062.52657531875,316,11946,44.67,18372.119141
2016-07-12,379937,15756112.5,219034,379937,0,1.1092,6134.47637710024,312,11583,46.72,18347.669922
2016-07-11,395742,15754325,218089,395742,13076697,1.1049,6314.04857146243,289,10834,44.04,18226.929688
2016-07-08,363919,15747450,210701,363919,6958031,1.107,5303.12362542344,327,11232,44.53,18146.740234
2016-07-07,364414,15743825,216812,364414,6716385,1.108,5788.63363240269,334,12844,45.93,17895.880859
2016-07-06,373956,15740400,214691,373956,4330820,1.1069,5519.57765095092,345,12019,45.7,17918.619141
2016-07-05,383808,15736900,214959,383808,9117605,1.1146,5711.8468691569,322,11621,45.64,17840.619141
2016-07-01,375377,15721925,210409,375377,5791622,1.1135,5298.89128414217,777,11434,47.65,17949.369141
2016-06-30,402792,15718050,231960,402792,16069593,1.1102,5803.74913697863,856,12040,48.05,17929.990234
2016-06-29,371774,15714300,224112,371774,3544203,1.109,6141.73181929669,788,12755,48.4,17694.679688
2016-06-28,428929,15710650,213058,428929,3647608,1.1073,6048.01569092585,808,13043,46.29,17409.720703
2016-06-27,379861,15706950,217029,379861,6363871,1.0998,7031.12810854511,892,13163,45.07,17140.240234
2016-06-24,437104,15695575,238888,437104,4312699,1.1066,11569.4072024259,657,12979,46.69,17400.75
2016-06-23,431633,15692350,241300,431633,8432824,1.1389,5992.99525426942,626,12838,48.63,18011.070312
2016-06-22,422909,15688850,235641,422909,6866219,1.1283,5947.6487405416,563,13931,48.43,17780.830078
2016-06-21,468641,15685625,248164,468641,16229732,1.1314,7241.53593224222,556,13166,48.18,17829.730469
2016-06-20,465928,15681900,249334,465928,8612056,1.1332,7192.56169741617,551,13955,48.68,17804.869141
2016-06-17,453509,15669425,253752,453509,15850046,1.1254,6560.7336061418,718,14729,46.57,17675.160156
2016-06-16,471278,15665700,267870,471278,20089129,1.1174,6419.85710349402,760,16068,45.66,17733.099609
2016-06-15,445830,15661975,262510,445830,20298060,1.123,6049.22493129192,695,14905,47.47,17640.169922
2016-06-14,420352,15658175,247632,420352,11253165,1.1225,6565.5705676061,769,15209,47.88,17674.820312
2016-06-13,451922,15654875,251354,451922,29197670,1.1268,7529.93975955119,750,15183,49.36,17732.480469
2016-06-10,407301,15643300,228367,407301,7500137,1.1304,5155.59630076224,652,12105,49.7,17865.339844
2016-06-09,426447,15639700,236353,426447,6309834,1.1343,5639.89706737542,775,12163,50.59,17985.189453
2016-06-08,401953,15635575,229933,401953,5428412,1.1378,5759.61186361688,697,13079,50.73,18005.050781
2016-06-07,424994,15631975,248576,424994,16499300,1.1348,5942.20715889426,808,13039,49.76,17938.279297
2016-06-06,414350,15628475,221171,414350,7129280,1.1349,6230.61098620323,691,11721,48.94,17920.330078
2016-06-03,402066,15617000,234669,402066,4668712,1.1154,5748.12408013916,743,10944,48.5,17807.060547
2016-06-02,392655,15613450,231099,392655,20083252,1.1188,5845.46792960823,706,11380,49.05,17838.560547
2016-06-01,405301,15610000,234385,405301,8697892,1.1174,6600.63853822228,643,12932,48.81,17789.669922
2016-05-31,392767,15606425,215249,392767,8772372,1.1154,8333.47998280826,581,12284,49.26,17787.199219
2016-05-27,407566,15592650,215296,407566,34641613,1.1168,4742.03609556447,613,11019,49.09,17873.220703
2016-05-26,364137,15589175,220093,364137,5391198,1.1168,4844.21690649784,660,11740,49.52,17828.289062
2016-05-25,397464,15585800,247844,397464,8454797,1.1146,4973.6056256679,667,12139,48.87,17851.509766
2016-05-24,406728,15582350,246517,406728,6443522,1.1168,5407.11829690592,692,13770,48.42,17706.050781
2016-05-23,414216,15578675,222755,414216,4020462,1.1215,5263.82331352599,660,11083,47.77,17492.929688
2016-05-20,354677,15566050,209396,354677,11491713,1.1219,5074.57719623519,515,10706,48.54,17500.939453
2016-05-19,372460,15562325,219146,372460,7133693,1.1197,7357.01838720241,568,11136,47.01,17435.400391
2016-05-18,412831,15559325,235084,412831,7753129,1.1279,6014.15696067574,565,11420,48.93,17526.619141
2016-05-17,393224,15555500,238626,393224,50142566,1.1318,5425.86152258008,504,10972,48.71,17529.980469
