"date","views"
2009-11-01,11
2009-11-02,11
2009-11-03,11
2009-11-04,18
2009-11-05,10
2009-11-06,10
2009-11-07,6
2009-11-08,7
2009-11-09,10
2009-11-10,22
2009-11-11,10
2009-11-12,16
2009-11-13,18
2009-11-14,12
2009-11-15,0
2009-11-16,10
2009-11-17,13
2009-11-18,14
2009-11-19,8
2009-11-20,9
2009-11-21,13
2009-11-22,0
2009-11-23,8
2009-11-24,10
2009-11-25,9
2009-11-26,7
2009-11-27,4
2009-11-28,11
2009-11-29,6
2009-11-30,7
2009-12-01,9
2009-12-02,13
2009-12-03,6
2009-12-04,19
2009-12-05,17
2009-12-06,19
2009-12-07,8
2009-12-08,24
2009-12-09,19
2009-12-10,11
2009-12-11,15
2009-12-12,10
2009-12-13,11
2009-12-14,8
2009-12-15,10
2009-12-16,15
2009-12-17,37
2009-12-18,25
2009-12-19,12
2009-12-20,25
2009-12-21,8
2009-12-22,12
2009-12-23,17
2009-12-24,8
2009-12-25,10
2009-12-26,8
2009-12-27,10
2009-12-28,10
2009-12-29,14
2009-12-30,12
2009-12-31,13
2010-01-01,17
2010-01-02,12
2010-01-03,8
2010-01-04,9
2010-01-05,5
2010-01-06,9
2010-01-07,12
2010-01-08,9
2010-01-09,9
2010-01-10,7
2010-01-11,15
2010-01-12,19
2010-01-13,12
2010-01-14,9
2010-01-15,12
2010-01-16,11
2010-01-17,13
2010-01-18,10
2010-01-19,16
2010-01-20,16
2010-01-21,11
2010-01-22,8
2010-01-23,0
2010-01-24,0
2010-01-25,13
2010-01-26,18
2010-01-27,16
2010-01-28,7
2010-01-29,11
2010-01-30,11
2010-01-31,10
2010-02-01,11
2010-02-02,23
2010-02-03,17
2010-02-04,22
2010-02-05,10
2010-02-06,16
2010-02-07,14
2010-02-08,0
2010-02-09,9
2010-02-10,15
2010-02-11,12
2010-02-12,15
2010-02-13,27
2010-02-14,12
2010-02-15,20
2010-02-16,20
2010-02-17,15
2010-02-18,20
2010-02-19,9
2010-02-20,39
2010-02-21,45
2010-02-22,23
2010-02-23,19
2010-02-24,20
2010-02-25,11
2010-02-26,8
2010-02-27,37
2010-02-28,16
2010-03-01,24
2010-03-02,9
2010-03-03,10
2010-03-04,12
2010-03-05,11
2010-03-06,20
2010-03-07,12
2010-03-08,11
2010-03-09,10
2010-03-10,9
2010-03-11,21
2010-03-12,16
2010-03-13,34
2010-03-14,15
2010-03-15,28
2010-03-16,9
2010-03-17,16
2010-03-18,22
2010-03-19,14
2010-03-20,14
2010-03-21,18
2010-03-22,19
2010-03-23,23
2010-03-24,18
2010-03-25,17
2010-03-26,16
2010-03-27,15
2010-03-28,14
2010-03-29,19
2010-03-30,16
2010-03-31,11
2010-04-01,13
2010-04-02,24
2010-04-03,6
2010-04-04,7
2010-04-05,13
2010-04-06,186
2010-04-07,20
2010-04-08,36
2010-04-09,78
2010-04-10,27
2010-04-11,26
2010-04-12,22
2010-04-13,35
2010-04-14,49
2010-04-15,124
2010-04-16,92
2010-04-17,59
2010-04-18,38
2010-04-19,29
2010-04-20,36
2010-04-21,30
2010-04-22,37
2010-04-23,39
2010-04-24,58
2010-04-25,44
2010-04-26,31
2010-04-27,40
2010-04-28,74
2010-04-29,50
2010-04-30,98
2010-05-01,39
2010-05-02,60
2010-05-03,42
2010-05-04,51
2010-05-05,34
2010-05-06,37
2010-05-07,31
2010-05-08,34
2010-05-09,37
2010-05-10,44
2010-05-11,37
2010-05-12,37
2010-05-13,41
2010-05-14,41
2010-05-15,35
2010-05-16,44
2010-05-17,40
2010-05-18,33
2010-05-19,41
2010-05-20,39
2010-05-21,47
2010-05-22,44
2010-05-23,51
2010-05-24,42
2010-05-25,112
2010-05-26,95
2010-05-27,61
2010-05-28,39
2010-05-29,53
2010-05-30,43
2010-05-31,41
2010-06-01,38
2010-06-02,35
2010-06-03,42
2010-06-04,35
2010-06-05,79
2010-06-06,38
2010-06-07,59
2010-06-08,52
2010-06-09,60
2010-06-10,56
2010-06-11,26
2010-06-12,13
2010-06-13,2
2010-06-14,14
2010-06-15,24
2010-06-16,29
2010-06-17,39
2010-06-18,114
2010-06-19,60
2010-06-20,67
2010-06-21,91
2010-06-22,40
2010-06-23,88
2010-06-24,59
2010-06-25,44
2010-06-26,0
2010-06-27,71
2010-06-28,0
